reef_name,Total_fish_count,Total_Select_Species,RBA,y,x
Ilha da Barra,293,20,6.825938567,,
"Ilheu Bom Bom, Principe",108,47,43.51851852,,
Ilhota,107,2,1.869158879,,
Inca Inca,116,15,12.93103448,,
Innis Bay West,5,5,100,,
Inshore Suburbs,0,0,#DIV/0!,,
Inside Gun Cay,193,5,2.590673575,,
Ireland Pen,451,135,29.93348115,,
Isla Catalina- Acuario,60,40,66.66666667,,
Isla Grande,24,14,58.33333333,,
Isla Verde (Reserva Marina Arrecife Isla Verde),44,12,27.27272727,,
Island Point,5,4,80,,
Isolated Reef,14,7,50,,
Jack-A-Dan,581,135,23.23580034,,
Jack's Bay,21,6,28.57142857,,
Jan Thiel Baai,66,21,31.81818182,,
Jan Thiel East,653,237,36.29402757,,
Jardines,770,186,24.15584416,,
Jardines Palancar,61,51,83.60655738,,
Jardines Palancar (b),44,22,50,,
Jeep Reef,100,42,42,,
Jena's Cave,134,78,58.20895522,,
Jena's Cove,259,17,6.563706564,,
Jena's Cove 2,124,59,47.58064516,,
Karpata Reserve,69,55,79.71014493,,
Kay Ken (Laborie),8,4,50,,
Kenny's Reef,34,29,85.29411765,,
King Peter's Bay,67,50,74.62686567,,
La Bomba,113,80,70.79646018,,
La Boya,39,30,76.92307692,,
La Bym,49,26,53.06122449,,
La Caleta- Peaje,23,20,86.95652174,,
La Culilera,0,0,#DIV/0!,,
La Francesa,425,53,12.47058824,,
La Gon Des Huitres,17,11,64.70588235,,
La Gonave E Pt,3,3,100,,
La Gonave SE Pt,39,6,15.38461538,,
La Grupera,57,23,40.35087719,,
La Monserrate,141,21,14.89361702,,
La Sorciere,0,0,#DIV/0!,,
La Tortue north mid,1,1,100,,
Labirinto,41,21,51.2195122,,
Ladan,105,24,22.85714286,,
Lado Oeste do Canal da Ilha da Barra,96,7,7.291666667,,
Laguna Beach Reef,127,87,68.50393701,,
Laje do Sancho Rasa,60,28,46.66666667,,
Laje Dois Irmaos,65,44,67.69230769,,
Laje Dois Irmaos Funda,54,38,70.37037037,,
Laje Dois Irmaos Rasa,110,30,27.27272727,,
Laje Funda do Sancho,117,20,17.09401709,,
Landslide,100,56,56,,
Languaja,24,23,95.83333333,,
Larimar 1,28,11,39.28571429,,
Las Topias,160,55,34.375,,
Lastro do Jorge,180,0,0,,
Laughing Bird Caye,233,151,64.80686695,,
Laughing Bird South,22,18,81.81818182,,
Lauro Reef,29,5,17.24137931,,
Lawrence Reef,28,10,35.71428571,,
Le Gallion Bowl,291,160,54.98281787,,
Le Sport Reef,1404,28,1.994301994,,
Les Irois,103,11,10.67961165,,
Les Orangers,20,11,55,,
Light House,0,0,#DIV/0!,,
Lighthouse,89,56,62.92134831,,
Lime Cay,289,204,70.58823529,,
Lime Cay East,8,3,37.5,,
Lime Caye Wall,134,92,68.65671642,,
Limon Coastal,5,2,40,,
Limon Seaward,4,2,50,,
Linda's Wall,55,33,60,,
Lindsay Reef,30,6,20,,
Lingua da Siriba,402,30,7.462686567,,
Lingua da Siriba I,388,42,10.82474227,,
Lingua da Siriba II,564,32,5.673758865,,
Lipmans Ledge,14,2,14.28571429,,
Little Bay,153,80,52.2875817,,
Little Bight Buoy 1,43,33,76.74418605,,
Little Bird Reef,9,5,55.55555556,,
Little Lameshur Bay,74,21,28.37837838,,
Little Little Bight Buoy 1,23,13,56.52173913,,
Little Little Bight Buoy 2,36,26,72.22222222,,
Long Caye,194,54,27.83505155,,
Long Hole,12,9,75,,
Long Reef 1,3,3,100,,
Long Reef 2,5,2,40,,
Loro Town,103,36,34.95145631,,
Los Jardines,8,7,87.5,,
"Los Negros 3, Miches",6,4,66.66666667,,
Los Negros Seaward,4,1,25,,
Los Venados,23,9,39.13043478,,
Lower Carlton,0,0,#DIV/0!,,
M1,71,49,69.01408451,,
Mabouya Garden,518,300,57.91505792,,
Magallanes,65,35,53.84615385,,
Maggie's Point,0,0,#DIV/0!,,
Maho Bay,295,30,10.16949153,,
